set,uid,model,dev,M,C,dlo,dhi,sign,w_lo,w_hi,s_lo,s_hi
"PI-1 IsoFLOP anchors, e from A2/published paths",B:mosaicml/mpt-30b,mpt-30b,MosaicML,33.333333333333336,1.8e+23,-0.830048658550604,2.4239070249026957,ambiguous,0.651459859932315,3.495304460948387,-0.535013991658515,0.7139018900434589
"PI-1 IsoFLOP anchors, e from A2/published paths",B:mosaicml/mpt-7b,mpt-7b,MosaicML,142.85714285714286,4.2e+22,0.8566428075756649,3.6521694492228702,w>1,1.4127160841027837,6.589982754491824,0.29214368601522633,0.8482545346088521
"PI-1 IsoFLOP anchors, e from A2/published paths",B:deepseek-ai/deepseek-llm-67b-base,deepseek-llm-67b-base,DeepSeek,29.850746268656717,8.04e+23,-1.2119305647221092,2.5470351849868766,ambiguous,0.5348877350774545,3.7247114456878885,-0.869551186951772,0.7315228267795876
"PI-1 IsoFLOP anchors, e from A2/published paths",B:deepseek-ai/deepseek-llm-7b-base,deepseek-llm-7b-base,DeepSeek,285.7142857142857,8.4e+22,1.528800906723875,4.4534475899501675,w>1,1.852653873913431,9.966570235254526,0.4602337683899572,0.8996645810549027
"PI-1 IsoFLOP anchors, e from A2/published paths",B:stabilityai/stablelm-base-alpha-3b,stablelm-base-alpha-3b,Stability AI,500.0,2.7e+22,2.285109562084339,4.836006508362708,w>1,2.513471838118133,12.142903739248718,0.6021439409686355,0.9176473748393669
"PI-1 IsoFLOP anchors, e from A2/published paths",B:stabilityai/stablelm-base-alpha-7b-v2,stablelm-base-alpha-7b-v2,Stability AI,159.66523353939925,4.54701367296e+22,0.9828035047312604,3.7757878926798236,w>1,1.486462588297188,7.0242802584707835,0.3272619116868952,0.8576366598137837
"PI-1 IsoFLOP anchors, e from A2/published paths",B:stabilityai/stablelm-2-1_6b,stablelm-2-1_6b,Stability AI,1216.1637936402378,1.9734183936e+22,3.2869525272149263,5.6759515787328025,w>1,3.7649835004113417,18.735006588234437,0.7343945863532348,0.9466239846092181
"PI-1 IsoFLOP anchors, e from A2/published paths",B:stabilityai/stablelm-base-alpha-7b,stablelm-base-alpha-7b,Stability AI,214.28571428571428,6.3e+22,1.2928628843457597,4.1208871141959085,w>1,1.6844802188818155,8.394203454635331,0.40634506194212494,0.8808701736377627
"PI-1 IsoFLOP anchors, e from A2/published paths",B:HuggingFaceTB/SmolLM-135M,SmolLM-135M,Hugging Face,4460.468827389134,4.842540288e+20,4.558440343598512,6.3971342940807325,w>1,6.2875985137237205,27.186695343233634,0.8409567662729522,0.96321730216288
"PI-1 IsoFLOP anchors, e from A2/published paths",B:HuggingFaceTB/SmolLM-360M,SmolLM-360M,Hugging Face,1658.277991069178,1.302556032e+21,3.574613853082665,5.562018094946662,w>1,4.228162078688898,17.664764227465152,0.7634906180535804,0.9433901303678199
"PI-1 IsoFLOP anchors, e from A2/published paths",B:HuggingFaceTB/SmolLM-1.7B,SmolLM-1.7B,Hugging Face,584.3249967389991,1.0268258304e+22,2.4786749253031144,4.841038145497404,w>1,2.717566236996873,12.17448892125788,0.6320236885541087,0.9178610283792776
"PI-1 IsoFLOP anchors, e from A2/published paths",B:cerebras/btlm-3b-8k-base,btlm-3b-8k-base,Cerebras,209.0,1.1286e+22,1.4281899813742407,3.8276579418579764,w>1,1.7789783080514472,7.214928974599227,0.43787959893939277,0.8613984969885933
"PI-1 IsoFLOP anchors, e from A2/published paths",B:h2oai/h2o-danube-1.8b-base,h2o-danube-1.8b-base,H2O.ai,546.0896139172642,1.098720768e+22,2.389138984535842,4.783921087803968,w>1,2.6211777041479727,11.82072279104071,0.6184921005479652,0.9154028042381697
"PI-1 IsoFLOP anchors, e from A2/published paths",B:h2oai/h2o-danube3-500m-base,h2o-danube3-500m-base,H2O.ai,7788.301746473706,1.2326178816e+22,5.0096968951246925,7.459455125744714,w>1,7.542749952991533,47.04879421773777,0.8674223583928579,0.9787454701735376
