model,N_nonemb,D,M,w_farseer,w_eq3,Mstar_eq3_ownC,in_farseer_N,above_farseer_N,in_farseer_N_1p5,above_farseer_N_1p5
SmolLM3-3B-Base,2812430336.0,11200000000000.0,3642.1596083417194,4.87915636267056,5.579652230412281,102.60837937618254,True,False,True,False
Phi-3-mini-4k-instruct,3624078336.0,4900000000000.0,1282.360111407594,3.512033234641689,3.724705677313829,84.15378877370173,True,False,True,False
Phi-3-small-8k-instruct,6981232640.0,4800000000000.0,649.3265427513825,2.9032893033991454,2.5332038124972276,104.90528362384737,False,True,True,False
Phi-3-medium-4k-instruct,13631902720.0,4800000000000.0,343.8336776560189,2.406360231436125,1.6600057218312305,134.461491602919,False,True,False,True
Phi-3.5-mini-instruct,3624078336.0,3400000000000.0,889.8008936297592,3.1339483441599114,3.309688066164641,74.64673064082523,True,False,True,False
phi-4,13631902720.0,9800000000000.0,668.5081473952959,3.0058856426270015,2.0785541314581035,178.24447362437462,False,True,False,True
Phi-4-mini-instruct,3221425152.0,5000000000000.0,1303.433690636833,3.6529377817405235,4.00376610969827,81.46159439809269,True,False,True,False
Falcon3-7B-Base,6650244096.0,14000000000000.0,1877.7956191968176,4.108634852953736,3.6283115629647162,154.2240210083003,False,True,True,False
falcon-11B,10570145792.0,5500000000000.0,495.3695377492483,2.6963657770899387,2.04725253420651,128.542881150013,False,True,False,True
granite-3.0-2b-base,2432862208.0,12000000000000.0,4736.482810634458,5.192144891582185,6.187211952660332,99.87566096756203,True,False,True,False
granite-3.0-8b-base,7969509376.0,12000000000000.0,1468.6379762115423,3.7220679289297935,3.105008131407394,155.86763877664507,False,True,True,False
Apertus-8B-2509,6979596352.0,15000000000000.0,1862.5816614409612,4.141397569895013,3.5981631944058843,161.57406571519863,False,True,True,False
Apertus-70B-2509,68452380832.0,15000000000000.0,212.46499707162045,2.182640932416897,0.6207987503031929,436.0924849439461,False,True,False,True
marin-8b-base,6979588096.0,12700000000000.0,1581.5176627239912,3.932035973367922,3.4226859157202485,151.26804993246552,False,True,True,False
neo_7b,7398927360.0,4420000000000.0,567.1235483772215,2.78385775850079,2.382883994549293,103.99298908031967,False,True,True,False
K2,64761372672.0,1400000000000.0,21.444046713064363,1.058596975287646,0.23119253283575947,152.61884002093745,False,True,False,True
stablelm-3b-4e1t,2537886720.0,4000000000000.0,1430.9001163035614,3.6433014699582604,4.246124854253114,70.19964907239371,True,False,True,False
