corpus,conv,sample,scheme,statistic,estimate,pop,se,ci_lo,ci_hi,p_zero,n_draws,n_restricted,n_all
edu,P,floor4,wild,slope|kappa_r|chin_f,0.13468865733910243,0.13949856060008967,0.005892015991464943,0.12226831863488655,0.1453984214552848,0.001,999,29,32
edu,P,floor4,wild,level100|kappa_r|chin_f,0.3010290075669262,0.31280832466247727,0.012662171982122291,0.2741311020193569,0.32396206353352264,,999,29,32
edu,P,floor4,wild,mean|kappa_r|chin_f,0.3654841722114192,0.37956526521546774,0.015439255286250663,0.3328288503370249,0.39347982192335074,,999,29,32
edu,P,floor4,wild,bin0|kappa_r|chin_f,0.3654841722114192,0.37956526521546774,0.015439255286250663,0.3328288503370249,0.39347982192335074,,999,29,32
edu,P,floor4,wild,bin1|kappa_r|chin_f,,,,,,,0,29,32
edu,P,floor4,wild,bin2|kappa_r|chin_f,,,,,,,0,29,32
edu,P,floor4,wild,n_eval|kappa_r|chin_f,3.0,3.0,0.0,3.0,3.0,,999,29,32
edu,P,floor4,wild,slope|chin_f|local,-0.01901271835542713,-0.03259209496172014,0.0187728685000269,-0.04780455093307945,0.009093014366274264,0.422,999,29,32
edu,P,floor4,wild,level100|chin_f|local,-0.12787795040455155,-0.1346190894029144,0.005132460127251907,-0.13844442200257467,-0.11876229267423336,,999,29,32
edu,P,floor4,wild,mean|chin_f|local,-0.13697647374087893,-0.15021601410591787,0.011992073754705233,-0.1570686444794255,-0.1180396594187724,,999,29,32
edu,P,floor4,wild,bin0|chin_f|local,-0.13697647374087893,-0.15021601410591787,0.011992073754705233,-0.1570686444794255,-0.1180396594187724,,999,29,32
edu,P,floor4,wild,bin1|chin_f|local,,,,,,,0,29,32
edu,P,floor4,wild,bin2|chin_f|local,,,,,,,0,29,32
edu,P,floor4,wild,n_eval|chin_f|local,3.0,3.0,0.0,3.0,3.0,,999,29,32
edu,P,floor4,wild,slope|kappa_f|local,0.09004589202140847,0.08400967560165527,0.01701975814930134,0.06440801633061491,0.11709609497280687,0.001,999,29,32
edu,P,floor4,wild,level100|kappa_f|local,0.10157806357701017,0.11329633448803328,0.008028446954400671,0.08690266473461276,0.11582140123695842,,999,29,32
edu,P,floor4,wild,mean|kappa_f|local,0.14466946348003049,0.15349910716103043,0.010393036029706114,0.12549428105396662,0.16412418695235612,,999,29,32
edu,P,floor4,wild,bin0|kappa_f|local,0.14466946348003049,0.15349910716103043,0.010393036029706114,0.12549428105396662,0.16412418695235612,,999,29,32
edu,P,floor4,wild,bin1|kappa_f|local,,,,,,,0,29,32
edu,P,floor4,wild,bin2|kappa_f|local,,,,,,,0,29,32
edu,P,floor4,wild,n_eval|kappa_f|local,3.0,3.0,0.0,3.0,3.0,,999,29,32
edu,P,floor4,wild,slope|kappa_f|chin_f,0.10905861037683562,0.11660177056337534,0.004503128556091584,0.10119516165680327,0.11828014546075324,0.001,999,29,32
edu,P,floor4,wild,level100|kappa_f|chin_f,0.22945601398156168,0.2479154238909477,0.009073073088839135,0.21360135206890865,0.2491957428648201,,999,29,32
edu,P,floor4,wild,mean|kappa_f|chin_f,0.2816459372209094,0.3037151212669483,0.011134083652521378,0.261999604892377,0.3054852020806026,,999,29,32
edu,P,floor4,wild,bin0|kappa_f|chin_f,0.2816459372209094,0.3037151212669483,0.011134083652521378,0.261999604892377,0.3054852020806026,,999,29,32
edu,P,floor4,wild,bin1|kappa_f|chin_f,,,,,,,0,29,32
edu,P,floor4,wild,bin2|kappa_f|chin_f,,,,,,,0,29,32
edu,P,floor4,wild,n_eval|kappa_f|chin_f,3.0,3.0,0.0,3.0,3.0,,999,29,32
edu,T,main,wild,slope|chin_r|local,-0.7604499635296298,-0.43897029308366114,0.313851665513583,-1.0795329622081284,-0.20685331575487198,0.001,999,38,44
edu,T,main,wild,level100|chin_r|local,0.085185326646837,-0.11109152033702244,0.15921353749179998,-0.19479099639878825,0.2429678975278894,,999,38,44
edu,T,main,wild,mean|chin_r|local,-0.5254106572819488,-0.4635584949908808,0.09444711064561942,-0.6374364577614624,-0.3522517922441116,,999,38,44
edu,T,main,wild,bin0|chin_r|local,-0.32870096782374775,-0.3541355932105658,0.02220254381115618,-0.3731607810734707,-0.2891700949734731,,999,38,44
edu,T,main,wild,bin1|chin_r|local,-1.5089591045729542,-1.0106730038924558,0.49033091012308316,-1.9871415355675903,-0.6433275099542148,,999,38,44
edu,T,main,wild,bin2|chin_r|local,,,,,,,0,38,44
edu,T,main,wild,n_eval|chin_r|local,6.0,6.0,0.0,6.0,6.0,,999,38,44
edu,T,main,wild,slope|chin_r|chin_f,-0.05763474457211383,-0.06716427967055022,0.009483863902574542,-0.0718888232643412,-0.04037741870457355,0.001,999,38,44
edu,T,main,wild,level100|chin_r|chin_f,-0.17907217370878542,-0.20253241354968968,0.020112190948673364,-0.2057667914895354,-0.1331922233322802,,999,38,44
edu,T,main,wild,mean|chin_r|chin_f,-0.22534943751080125,-0.2564613259004229,0.027191597803490716,-0.26054135470393724,-0.16818355735314297,,999,38,44
edu,T,main,wild,bin0|chin_r|chin_f,-0.2150204554347704,-0.24449269359997422,0.0256427146770471,-0.24833883122993358,-0.16024592741747115,,999,38,44
edu,T,main,wild,bin1|chin_r|chin_f,-0.27699434789095534,-0.31630448740266637,0.03512342910272674,-0.3226605011946663,-0.2067776818022426,,999,38,44
edu,T,main,wild,bin2|chin_r|chin_f,,,,,,,0,38,44
edu,T,main,wild,n_eval|chin_r|chin_f,6.0,6.0,0.0,6.0,6.0,,999,38,44
edu,T,main,wild,slope|kappa_r|local,-0.47001213471835723,-0.15705247265188418,0.29322487250203483,-0.7736208150754195,0.062306102272397856,0.084,999,38,44
edu,T,main,wild,level100|kappa_r|local,0.8104851365765571,0.5811792324096541,0.21463057968673668,0.4401599093835311,1.030646127808433,,999,38,44
edu,T,main,wild,mean|kappa_r|local,0.43309341375396454,0.455075460082246,0.05380356951644731,0.33546046312758965,0.5517472571948043,,999,38,44
edu,T,main,wild,bin0|kappa_r|local,0.5759572252955854,0.5125324854657698,0.06991214358191569,0.4180324512970285,0.6651094146072909,,999,38,44
