model,family,lab,date,N_total,N_active,N,N_src,N_nonemb,D,D_src,D_card_verified,epoch_D,D_vs_epoch,M,moe,distilled,synthetic,code
stablelm-base-alpha-7b,StableLM-alpha,Stability AI,2023-04-11 05:55:14,7000000000.0,7000000000.0,7000000000.0,reported,6380291584.0,1500000000000.0,ObsScaling,,,,214.28571428571428,False,False,False,False
rwkv-4-169m-pile,RWKV,RWKV,2023-05-04 13:36:31,169000000.0,169000000.0,169000000.0,reported,91774528.0,330000000000.0,"ObsScaling; fix: Pile, 330B tokens (Sloth; Epoch RWKV-4 14B)",,,,1952.6627218934912,False,False,False,False
rwkv-4-430m-pile,RWKV,RWKV,2023-05-04 13:38:41,430000000.0,430000000.0,430000000.0,reported,327032704.0,330000000000.0,"ObsScaling; fix: Pile, 330B tokens",,,,767.4418604651163,False,False,False,False
rwkv-4-1b5-pile,RWKV,RWKV,2023-05-04 13:42:33,1500000000.0,1500000000.0,1500000000.0,reported,1294065408.0,330000000000.0,"ObsScaling; fix: Pile, 330B tokens",,,,220.0,False,False,False,False
rwkv-4-7b-pile,RWKV,RWKV,2023-05-05 11:18:03,7000000000.0,7000000000.0,7000000000.0,reported,6588130816.0,330000000000.0,"ObsScaling; fix: Pile, 330B tokens",,,,47.142857142857146,False,False,False,False
rwkv-4-14b-pile,RWKV,RWKV,2023-05-22 00:00:00,14000000000.0,14000000000.0,14000000000.0,reported,13485163520.0,330000000000.0,"ObsScaling; fix: Pile, 330B tokens",,330000000000.0,0.0,23.571428571428573,False,False,False,False
rwkv-4-3b-pile,RWKV,RWKV,2023-05-04 13:49:10,3000000000.0,3000000000.0,3000000000.0,reported,2742581760.0,330000000000.0,"ObsScaling; fix: Pile, 330B tokens",,,,110.0,False,False,False,False
RedPajama-INCITE-Base-7B-v0.1,RedPajama-INCITE-Base,Together,2023-06-06 00:00:00,7000000000.0,7000000000.0,7000000000.0,reported,6586861056.0,1000000000000.0,ObsScaling,,1001000000000.0,-0.0004340774793186,142.85714285714286,False,False,False,False
RedPajama-INCITE-Base-3B-v1,RedPajama-INCITE-Base,Together,2023-05-04 05:51:02,3000000000.0,3000000000.0,3000000000.0,reported,2741788160.0,800000000000.0,ObsScaling,,,,266.6666666666667,False,False,False,False
Amber,Amber,LLM360,2023-12-11 00:00:00,6738415616.0,6738415616.0,6738415616.0,HF safetensors (float tensors),6476271616.0,1259000000000.0,ObsScaling,,,,186.83917284807623,False,False,False,False
codegen-6B-nl,Codegen-NL,Salesforce,2022-03-25 00:00:00,6000000000.0,6000000000.0,6000000000.0,reported,5580569600.0,360000000000.0,ObsScaling,,,,60.0,False,False,False,False
codegen-16B-nl,Codegen-NL,Salesforce,2022-03-25 00:00:00,16000000000.0,16000000000.0,16000000000.0,reported,15370854400.0,360000000000.0,ObsScaling,,,,22.5,False,False,False,False
SmolLM-135M,SmolLM,Hugging Face,2024-07-14 21:45:18,134515008.0,134515008.0,134515008.0,HF safetensors (float tensors),106203456.0,600000000000.0,ObsScaling,,,,4460.468827389134,False,False,True,False
SmolLM-360M,SmolLM,Hugging Face,2024-07-14 21:48:37,361821120.0,361821120.0,361821120.0,HF safetensors (float tensors),314635200.0,600000000000.0,ObsScaling,,,,1658.277991069178,False,False,True,False
SmolLM-1.7B,SmolLM,Hugging Face,2024-07-16 00:00:00,1711376384.0,1711376384.0,1711376384.0,HF safetensors (float tensors),1610713088.0,1000000000000.0,ObsScaling,,,,584.3249967389991,False,False,True,False
Cerebras-GPT-111M,Cerebras-GPT,Cerebras,2023-03-28 00:00:00,111000000.0,111000000.0,111000000.0,reported,,2220000000.0,ObsScaling,,,,20.0,False,False,False,False
Cerebras-GPT-256M,Cerebras-GPT,Cerebras,2023-03-28 00:00:00,256000000.0,256000000.0,256000000.0,reported,,5120000000.0,ObsScaling,,,,20.0,False,False,False,False
Cerebras-GPT-590M,Cerebras-GPT,Cerebras,2023-03-28 00:00:00,590000000.0,590000000.0,590000000.0,reported,,11800000000.0,ObsScaling,,,,20.0,False,False,False,False
Cerebras-GPT-1.3B,Cerebras-GPT,Cerebras,2023-03-28 00:00:00,1300000000.0,1300000000.0,1300000000.0,reported,,26000000000.0,ObsScaling,,,,20.0,False,False,False,False
Cerebras-GPT-2.7B,Cerebras-GPT,Cerebras,2023-03-28 00:00:00,2700000000.0,2700000000.0,2700000000.0,reported,,54000000000.0,ObsScaling,,,,20.0,False,False,False,False
Cerebras-GPT-6.7B,Cerebras-GPT,Cerebras,2023-03-28 00:00:00,6700000000.0,6700000000.0,6700000000.0,reported,,134000000000.00002,ObsScaling,,,,20.000000000000004,False,False,False,False
